كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0506,سرعة الأيدل منخفضة جداً,تنظيف البوابة (Throttle),300 (منظف),1,300 - 500,نايل موتورز,,,,,,
P0443,عطل صمام تطهير الـ EVAP,بلف تبخير (Purge),"1,100 - 2,500",0.8,250 - 450,نايل موتورز,,,,,,
P0352,عطل ملف الإشعال (B),موبينة اسطوانة 2,"1,300 - 3,000",0.5,150 - 300,نايل موتورز,,,,,,
P0449,عطل مغناطيس تنفيس EVAP,صمام Vent Solenoid,"1,800 - 3,500",1,400 - 600,نايل موتورز,,,,,,
P0313,ميس فاير مع وقود منخفض,فلتر بنزين / طلمبة,"1,500 - 4,500",1.5,400 - 700,نايل موتورز,,,,,,
P0722,انعدام إشارة حساس السرعة,حساس Output Speed,"1,800 - 3,400",1,400 - 700,نايل موتورز,,,,,,
P0354,عطل ملف الإشعال (D),موبينة اسطوانة 4,"1,300 - 3,200",0.5,150 - 300,نايل موتورز,,,,,,
P0706,مدى أداء حساس السلكتور,فحص عصا الفتيس,---,1.5,"600 - 1,000",نايل موتورز,,,,,,
P0444,انقطاع دائرة صمام EVAP,بلف كانستر,"1,200 - 2,600",0.8,300 - 500,نايل موتورز,,,,,,
P0740,عطل دائرة القابض (TCC),زيت فتيس / عمرة,---,3.0+,"2,000+",نايل موتورز,,,,,,
P0422,كفاءة المحفز الرئيسي منخفضة,علبة بيئة,"8,000 - 22,000",2,"800 - 1,500",نايل موتورز,,,,,,
P2101,أداء موتور بوابة الهواء,بوابة كهرباء,"4,000 - 9,000",1,500 - 800,نايل موتورز,,,,,,
P0508,جهد منخفض دائرة الأيدل,صمام IAC,"1,200 - 2,800",1,300 - 500,نايل موتورز,,,,,,
U0100,فقد الاتصال بالكنترول (ECM),فحص فيوزات/كنترول,---,2.0+,"1,500+",نايل موتورز,,,,,,
P0512,عطل دائرة بادئ الحركة,مارش (Starter),"3,000 - 6,500",1.5,500 - 800,نايل موتورز,,,,,,
P0445,قصر دائرة صمام EVAP,بلف كانستر,"1,300 - 2,800",0.8,300 - 500,نايل موتورز,,,,,,
P0013,عطل مغناطيس الكامة (Exh),صمام VVT Solenoid,"2,200 - 4,600",1,400 - 700,نايل موتورز,,,,,,
P0522,انخفاض جهد حساس الزيت,حساس ضغط زيت,"850 - 2,000",1,300 - 500,نايل موتورز,,,,,,
P0404,مدى أداء صمام EGR,صمام EGR,"3,500 - 6,500",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0342,انخفاض إشارة حساس الكامة,حساس كامة,"1,600 - 3,200",1,400 - 600,نايل موتورز,,,,,,
P0031,جهد منخفض سخان شكمان,حساس أوكسجين,"2,800 - 4,900",1,300 - 500,نايل موتورز,,,,,,
P0113,دخل مرتفع حساس الهواء,حساس IAT (ماف),"2,200 - 5,000",0.5,200 - 350,نايل موتورز,,,,,,
P0601,خطأ في ذاكرة الكنترول,شحن سوفت وير,"3,000 - 8,000",2,"1,500 - 3,000",نايل موتورز,,,,,,
P0037,جهد منخفض سخان شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,500",1,300 - 500,نايل موتورز,,,,,,
P0700,عطل عام فى الفتيس,فحص كنترول وضفيرة,---,1,"500 - 1,000",نايل موتورز,,,,,,
P0320,عطل دائرة دخل سرعة الإشعال,حساس كرنك / موبينة,"1,300 - 2,800",1,350 - 600,نايل موتورز,,,,,,
C0110,عطل موتور مضخة ABS,طلمبة ABS / كنترول,"12,000 - 35,000",3,"1,500 - 3,000",نايل موتورز,,,,,,
P0603,خطأ في ذاكرة الكنترول (KAM),بطارية / برمجة كنترول,"5,000 - 8,000",1,"1,000 - 2,500",نايل موتورز,,,,,,
P0135,عطل سخان حساس الأكسجين,حساس أوكسجين,"2,500 - 4,800",1,300 - 500,نايل موتورز,,,,,,
P0741,تعليق محول العزم (Off),بلف توك كونفرتر,"4,000 - 9,000",3,"1,500 - 3,000",نايل موتورز,,,,,,
P0117,انخفاض دخل حساس الحرارة,حساس مياه,"450 - 1,100",0.5,200 - 350,نايل موتورز,,,,,,
P0562,انخفاض جهد النظام,دينامو / بطارية,"4,500 - 12,000",1,300 - 600,نايل موتورز,,,,,,
P0300,حريق غير منتظم,بوجيهات / كويلات,"1,000 - 2,500",1,300 - 500,نايل موتورز,,,,,,
C1201,عطل كنترول المحرك (ABS),فحص كنترول ABS,---,2,"1,200 - 2,500",نايل موتورز,,,,,,
P0231,جهد منخفض طلمبة البنزين,ريلاي طلمبة,300 - 800,0.5,150 - 300,نايل موتورز,,,,,,
P0700,نظام تحكم الفتيس (عطل),فحص ضفيرة الفتيس,---,1,"500 - 1,000",نايل موتورز,,,,,,
P0202,عطل دائرة الرشاش 2,رشاش وقود,"1,500 - 3,800",1.5,400 - 700,نايل موتورز,,,,,,
P0715,عطل حساس سرعة الدخل,حساس فتيس داخلي,"2,000 - 4,200",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,200 - 2,800",0.5,150 - 300,نايل موتورز,,,,,,
P0036,دائرة سخان (1/2),حساس أوكسجين خلفي,"2,500 - 4,800",1,300 - 500,نايل موتورز,,,,,,
P0560,عطل في جهد النظام,فحص بطارية / أرضي,---,1,300 - 500,نايل موتورز,,,,,,
P0136,عطل حساس الأكسجين 2,حساس أوكسجين خلفي,"2,400 - 4,500",1,300 - 500,نايل موتورز,,,,,,
P0706,عطل مدى حساس الناقل,فحص سلكتور,---,1.5,"600 - 1,000",نايل موتورز,,,,,,
P0304,ميس فاير اسطوانة 4,بوجيه / موبينة,"1,200 - 2,800",0.5,150 - 300,نايل موتورز,,,,,,
P2135,عدم توافق حساسات البوابة,بوابة كاملة,"4,500 - 9,500",1,500 - 800,نايل موتورز,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,300 - 2,900",1.5,500 - 900,نايل موتورز,,,,,,
P2279,تسريب هواء للمحرك,جوان مانيفولد,"600 - 1,500",2,"600 - 1,200",نايل موتورز,,,,,,
P0352,عطل ملف إشعال 2,موبينة,"1,300 - 3,000",0.5,150 - 300,نايل موتورز,,,,,,
P2401,انخفاض جهد مضخة EVAP,طلمبة كشف تسريب,"3,500 - 7,000",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0342,انخفاض إشارة حساس كامة,حساس كامة,"1,600 - 3,200",1,400 - 600,نايل موتورز,,,,,,
P0191,مدى حساس ضغط الوقود,حساس مسطرة الرشاشات,"2,800 - 5,500",1,400 - 700,نايل موتورز,,,,,,
P0607,أداء وحدة التحكم (ECU),برمجة أو تغيير كنترول,"7,000 - 25,000",2,"2,000 - 4,000",نايل موتورز,,,,,,
C0040,عطل حساس ABS (أيمن),حساس ABS أمامى,"1,100 - 2,600",1,300 - 500,نايل موتورز,,,,,,
P0463,دخل مرتفع حساس البنزين,عوامة تانك البنزين,"1,200 - 2,800",1,400 - 700,نايل موتورز,,,,,,
P2101,أداء محرك بوابة الهواء,بوابة كهرباء,"4,000 - 9,000",1,"600 - 1,000",نايل موتورز,,,,,,
P0444,انقطاع دائرة صمام تبخير,بلف كانستر,"1,200 - 2,500",0.8,300 - 500,نايل موتورز,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس دواسة بنزين,"3,200 - 7,000",1,400 - 700,نايل موتورز,,,,,,
P0354,عطل ملف الإشعال 4,موبينة,"1,300 - 3,200",0.5,200 - 350,نايل موتورز,,,,,,
P2187,خليط فقير عند الأيدل,بلف تبخير / بوابة,"1,600 - 3,800",1,400 - 700,نايل موتورز,,,,,,
P0231,جهد منخفض طلمبة بنزين,ريلاي طلمبة / فيوز,350 - 900,0.5,200 - 400,نايل موتورز,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,4,"3,000+",نايل موتورز,,,,,,
P0355,عطل ملف الإشعال 5,موبينة,"1,500 - 3,600",0.5,250 - 400,نايل موتورز,,,,,,
P2195,حساس شكمان علق (Lean),حساس أوكسجين,"3,000 - 5,500",1,400 - 700,نايل موتورز,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,300 - 2,800",1.5,500 - 900,نايل موتورز,,,,,,
P2100,انقطاع دائرة موتور بوابة,بوابة كهرباء كاملة,"4,500 - 10,000",1,500 - 900,نايل موتورز,,,,,,
P0171,خليط فقير (Bank 1),حساس شكمان / طلمبة,"2,800 - 5,500",1,400 - 700,نايل موتورز,,,,,,
P0731,غيار أول غير صحيح,فحص الفتيس,---,4,"3,000+",نايل موتورز,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين,"2,800 - 5,000",1,300 - 500,نايل موتورز,,,,,,
P0744,إشارة متقطعة TCC,ضفيرة فتيس / سولينويد,"2,500 - 5,000",2,"800 - 1,500",نايل موتورز,,,,,,
P0172,خليط وقود غني (1),رشاشات / حساس هواء,"2,800 - 5,000",1.5,500 - 900,نايل موتورز,,,,,,
P0705,عطل حساس وضع الفتيس,حساس سلكتور,"2,500 - 6,000",1.5,"600 - 1,200",نايل موتورز,,,,,,
P0401,تدفق EGR غير كاف,تنظيف صمام EGR,500 (كيماوي),2,"700 - 1,200",نايل موتورز,,,,,,
P0113,دخل مرتفع حساس الهواء,حساس IAT,"1,200 - 2,500",0.5,200 - 350,نايل موتورز,,,,,,
P0606,عطل معالج PCM/ECM,صيانة كنترول,"6,000 - 15,000",2,"1,500 - 3,500",نايل موتورز,,,,,,
P0032,جهد مرتفع سخان (B1),حساس أوكسجين,"2,900 - 5,500",1,300 - 500,نايل موتورز,,,,,,
P0501,مدى حساس السرعة (A),حساس VSS,"900 - 2,000",1,400 - 600,نايل موتورز,,,,,,
P0322,انعدام إشارة حساس الموزع,حساس كرنك / سبراتير,"1,400 - 3,000",1,400 - 700,نايل موتورز,,,,,,
C0034,عطل حساس ABS (خلفي أيسر),حساس ABS خلفي,"1,200 - 2,900",1,400 - 600,نايل موتورز,,,,,,
P0118,جهد مرتفع حساس الحرارة,حساس مياه / ترموستات,"550 - 1,300",0.5,250 - 450,نايل موتورز,,,,,,
P0705,عطل سلكتور الفتيس,حساس وضع الناقل,"2,800 - 6,500",1.5,"700 - 1,300",نايل موتورز,,,,,,
P0172,خليط غني جداً (Bank 1),رشاشات / حساس هواء,"3,000 - 6,000",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0715,عطل حساس سرعة الدخل,حساس فتيس داخلي,"2,200 - 4,800",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0101,مدى أداء حساس الماف,حساس MAF,"2,800 - 6,000",0.5,300 - 500,نايل موتورز,,,,,,
P0606,عطل معالج الكنترول,صيانة بوردة ECU,"7,000 - 18,000",2,"2,000 - 4,000",نايل موتورز,,,,,,
P0011,توقيت كامة متقدم (A),بلف VVT / زيت,"2,500 - 5,000",1,500 - 800,نايل موتورز,,,,,,
P0720,عطل حساس سرعة الخرج,حساس فتيس خارجي,"2,000 - 4,000",1,"600 - 1,000",نايل موتورز,,,,,,
P0351,عطل ملف الإشعال 1,موبينة,"1,500 - 3,500",0.5,300 - 500,نايل موتورز,,,,,,
P2195,حساس شكمان علق (Lean),حساس أوكسجين,"3,200 - 5,800",1,500 - 800,نايل موتورز,,,,,,
P0401,تدفق EGR غير كاف,تنظيف صمام EGR,600 (منظف),2,"1,000 - 1,800",نايل موتورز,,,,,,
B1000,عطل كنترول الوسائد,تغيير كنترول الإيرباج,"6,000 - 16,000",2,"1,500 - 3,000",نايل موتورز,,,,,,
P0304,ميس فاير اسطوانة 4,بوجيه / موبينة,"1,400 - 3,200",0.5,300 - 500,نايل موتورز,,,,,,
P2135,عدم توافق فولتية البوابة,بوابة كهرباء,"5,500 - 10,500",1,"700 - 1,100",نايل موتورز,,,,,,
P0441,تدفق تطهير غير صحيح,صمام كانستر,"1,400 - 3,200",1,500 - 800,نايل موتورز,,,,,,
C1201,عطل كنترول المحرك (ABS),فحص كنترول ABS,---,2,"1,500 - 3,000",نايل موتورز,,,,,,
P0352,عطل ملف الإشعال 2,موبينة,"1,500 - 3,500",0.5,300 - 500,نايل موتورز,,,,,,
P2401,انخفاض جهد مضخة EVAP,طلمبة كشف تسريب,"3,800 - 7,500",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0342,انخفاض إشارة حساس كامة,حساس كامة,"1,800 - 3,600",1,500 - 800,نايل موتورز,,,,,,
P2110,نظام تحكم بوابة (RPM),برمجة / تنظيف بوابة,---,1,"600 - 1,100",نايل موتورز,,,,,,
P0325,عطل حساس الخبط 1,حساس Knock,"2,000 - 4,000",2,"800 - 1,400",نايل موتورز,,,,,,
P2187,خليط فقير عند الأيدل,بلف تبخير / بوابة,"1,800 - 4,200",1,500 - 900,نايل موتورز,,,,,,
P0305,ميس فاير اسطوانة 5,بوجيه / موبينة,"1,600 - 3,800",0.5,400 - 600,نايل موتورز,,,,,,
P2191,خليط فقير (حمل عالي),طلمبة بنزين / رشاشات,"4,500 - 9,500",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0AC4,طلب إضاءة لمبة الأعطال (Hybrid),فحص كنترول البطارية,---,2,"1,500 - 3,000",نايل موتورز,,,,,,
P050B,أداء توقيت الإشعال (Cold Start),بوجيهات / تنظيف بوابة,"1,500 - 3,500",1,500 - 900,نايل موتورز,,,,,,
P2101,مدى أداء موتور بوابة الهواء,بوابة كهرباء (Throttle),"6,000 - 13,000",1,"600 - 1,200",نايل موتورز,,,,,,
P0420,كفاءة علبة البيئة منخفضة (B1),علبة بيئة / حساس أوكسجين,"12,000 - 30,000",2,"1,000 - 2,000",نايل موتورز,,,,,,
U0100,فقد الاتصال بكنترول المحرك,فحص ضفيرة / كنترول,---,3,"2,000 - 5,000",نايل موتورز,,,,,,
P0101,مدى أداء حساس الماف (MAF),حساس تدفق الهواء,"3,000 - 6,500",0.5,300 - 500,نايل موتورز,,,,,,
P0560,عطل جهد النظام (فولتية غير منتظمة),دينامو / منظم شحن,"2,500 - 6,500",1.5,"600 - 1,000",نايل موتورز,,,,,,
C1201,عطل في نظام التحكم بالمحرك,فحص كمبيوتر شامل,---,1,"500 - 1,000",نايل موتورز,,,,,,
P0230,عطل دائرة طلمبة البنزين,ريلاي طلمبة / طلمبة,"3,800 - 8,500",1.5,"600 - 1,200",نايل موتورز,,,,,,
P0720,عطل حساس سرعة الخرج,حساس Speed Sensor,"1,800 - 3,800",1,500 - 800,نايل موتورز,,,,,,
P0011,توقيت كامة متقدم (Intake),بلف VVT / زيت محرك,"2,500 - 5,000",1,500 - 800,نايل موتورز,,,,,,
P0505,عطل نظام التحكم في الخمول,صمام الأيدل (IAC),"1,800 - 4,200",1,500 - 900,نايل موتورز,,,,,,
U0121,فقد الاتصال مع كنترول ABS,فيوزات / ضفيرة ABS,---,2,"1,500 - 3,000",نايل موتورز,,,,,,
P0446,عطل تحكم تنفيس EVAP,بلف تنفيس كانستر,"1,600 - 3,500",1,500 - 800,نايل موتورز,,,,,,
C1249,عطل في مفتاح لمبة الفرامل,ماكينة فرامل,"450 - 1,200",0.5,200 - 400,نايل موتورز,,,,,,
P0325,عطل حساس الخبط 1,حساس Knock,"2,200 - 4,800",2,"800 - 1,600",نايل موتورز,,,,,,
P2196,"إشارة شكمان علقت على ""غني""",حساس أوكسجين,"3,800 - 6,500",1,500 - 900,نايل موتورز,,,,,,
P0352,عطل موبينة اسطوانة 2,موبينة,"1,500 - 3,500",0.5,300 - 500,نايل موتورز,,,,,,
P2401,انخفاض فولتية طلمبة EVAP,طلمبة كشف تسريب,"4,000 - 8,000",2,"800 - 1,500",نايل موتورز,,,,,,
P0125,حرارة تبريد غير كافية,ثرموستات كوعة,"1,200 - 2,800",1.5,"600 - 1,100",نايل موتورز,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس,---,6.0+,"5,000+",نايل موتورز,,,,,,
P0122,دخل منخفض حساس TPS,حساس بوابة,"1,400 - 3,000",0.8,400 - 600,نايل موتورز,,,,,,
P0740,عطل دائرة TCC,سولينويد فتيس,"4,000 - 8,500",2.5,"1,200 - 2,500",نايل موتورز,,,,,,
P0012,تأخر توقيت الكامة (A),بلف VVT / زيت,"1,800 - 4,800",1,500 - 800,نايل موتورز,,,,,,
P0601,خطأ شيكسوم الكنترول,إعادة برمجة / تغيير,"5,000 - 12,000",2,"2,000 - 4,000",نايل موتورز,,,,,,
P0139,استجابة بطيئة (S2),حساس أوكسجين خلفي,"2,800 - 5,000",1,400 - 700,نايل موتورز,,,,,,
C0051,عطل حساس زاوية التوجيه,حساس زاوية الدركسيون,"3,500 - 8,000",1.5,"700 - 1,500",نايل موتورز,,,,,,
P0513,مفتاح تشفير غير صحيح,برمجة مفتاح / ايموبلايزر,"1,500 - 4,500",1,"800 - 2,000",نايل موتورز,,,,,,
P0868,انخفاض ضغط زيت الفتيس,طلمبة زيت فتيس / فلتر,"6,000 - 15,000",4,"2,500 - 5,000",نايل موتورز,,,,,,
P0443,عطل صمام تطهير الكانستر,بلف تبخير بنزين,"1,500 - 3,200",0.8,400 - 700,نايل موتورز,,,,,,
P2119,أداء خانق البوابة (Throttle),تنظيف أو تغيير البوابة,"4,500 - 11,000",1,"600 - 1,200",نايل موتورز,,,,,,
P0300,حريق غير منتظم (عشوائي),بوجيهات / كويلات,"1,800 - 4,500",1,400 - 800,نايل موتورز,,,,,,
P2138,عطل توافق فولتية البدال,دواسة بنزين كهرباء,"3,500 - 8,500",1,500 - 900,نايل موتورز,,,,,,
P0128,ترموستات مياه (علق فتح),ترموستات كوعة,"1,200 - 3,000",1.5,"600 - 1,200",نايل موتورز,,,,,,
P0741,تعليق كلاتش محول العزم,سولينويد TCC,"4,500 - 9,500",2.5,"1,500 - 3,000",نايل موتورز,,,,,,
P0101,مدى حساس الماف (MAF),حساس هواء,"3,200 - 7,000",0.5,300 - 500,نايل موتورز,,,,,,
P0722,لا توجد إشارة حساس السرعة,حساس خرج الفتيس,"2,000 - 4,500",1,"600 - 1,100",نايل موتورز,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,600 - 3,800",1.5,"800 - 1,300",نايل موتورز,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس بدال البنزين,"4,000 - 9,000",1,"600 - 1,000",نايل موتورز,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,500 - 3,500",0.5,300 - 500,نايل موتورز,,,,,,
P2195,حساس شكمان علق (فقير),حساس أوكسجين,"4,000 - 7,000",1,"600 - 1,100",نايل موتورز,,,,,,
P0136,عطل حساس الأوكسجين 2,حساس شكمان خلفي,"3,000 - 5,500",1,400 - 700,نايل موتورز,,,,,,
P0700,عطل عام بالفتيس,فحص أعطال الفتيس,---,1,"800 - 1,500",نايل موتورز,,,,,,
P0172,خليط وقود غني (B1),حساس هواء / رشاشات,"3,500 - 6,500",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0710,عطل حساس حرارة زيت الفتيس,حساس ATF Temp,"3,000 - 6,500",2,"1,200 - 2,200",نايل موتورز,,,,,,
P0122,دخل منخفض حساس TPS,حساس بوابة,"1,600 - 3,500",0.8,400 - 700,نايل موتورز,,,,,,
P0740,عطل دائرة TCC,سولينويد فتيس,"4,000 - 9,000",2.5,"1,500 - 3,000",نايل موتورز,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين أمامي,"3,500 - 6,200",1,500 - 800,نايل موتورز,,,,,,
P0720,عطل حساس سرعة الخرج,حساس Speed Sensor,"2,200 - 4,800",1,"600 - 1,200",نايل موتورز,,,,,,
P0141,عطل سخان شكمان 2,حساس أوكسجين خلفي,"3,000 - 5,500",1,400 - 700,نايل موتورز,,,,,,
P0731,غيار أول غير صحيح,فحص الفتيس ميكانيكياً,---,5.0+,"4,000+",نايل موتورز,,,,,,
P0012,تأخر توقيت الكامة (A),بلف VVT / زيت,"2,000 - 5,000",1,500 - 800,نايل موتورز,,,,,,
B1001,خطأ في تعريف وحدة الوسائد,برمجة كنترول SRS,---,1.5,"1,000 - 2,500",نايل موتورز,,,,,,
U0155,فقد الاتصال بلوحة العدادات,فيشة عدادات / ضفيرة,---,2,"1,000 - 2,000",نايل موتورز,,,,,,
P0810,عطل التحكم في مشغل الكلاتش,مشغل كلاتش (Actuator),"12,000 - 28,000",3,"2,000 - 4,500",نايل موتورز,,,,,,
P0217,سخونة مفرطة في المحرك,طلمبة مياه / رادياتير,"3,500 - 9,000",2.5,"1,200 - 2,200",نايل موتورز,,,,,,
P0601,خطأ داخلي في الـ Checksum,شحن فلاشة الكنترول,"4,500 - 10,000",2,"2,000 - 4,000",نايل موتورز,,,,,,
B1019,عطل حساس الكرسي (الوزن),طقم إصلاح حساس,"2,500 - 5,000",2,"1,000 - 2,000",نايل موتورز,,,,,,
P0441,تدفق تطهير EVAP غير صحيح,صمام كانستر,"1,600 - 3,500",1,400 - 800,نايل موتورز,,,,,,
P2135,عدم توافق حساسات البوابة,بوابة كاملة,"7,000 - 14,000",1,"700 - 1,200",نايل موتورز,,,,,,
C1210,عطل معايرة حساس الزاوية,ضبط زوايا كمبيوتر,---,1,"500 - 1,200",نايل موتورز,,,,,,
P0300,حريق عشوائي (Misfire),بوجيهات / موبينات,"2,000 - 5,000",1,400 - 800,نايل موتورز,,,,,,
P0705,عطل سلكتور الفتيس,حساس وضع النقل,"3,500 - 8,000",1.5,"800 - 1,500",نايل موتورز,,,,,,
B1213,عدد المفاتيح المبرمجة غير كاف,برمجة مفاتيح,---,1,"1,000 - 2,000",نايل موتورز,,,,,,
P0231,انخفاض جهد طلمبة الوقود,ريلاي طلمبة / فيوز,"400 - 1,100",0.5,250 - 500,نايل موتورز,,,,,,
P0720,عطل حساس سرعة الخرج,حساس Speed Sensor,"2,200 - 4,800",1,"600 - 1,100",نايل موتورز,,,,,,
C1221,فقد إشارة حساس السرعة (أمام),حساس ABS,"1,300 - 3,000",1,500 - 800,نايل موتورز,,,,,,
P0351,عطل ملف الإشعال A,موبينة اسطوانة 1,"1,600 - 3,800",0.5,300 - 500,نايل موتورز,,,,,,
P2138,عدم توافق حساسات الدعسة,دواسة بنزين,"4,500 - 9,000",1,"600 - 1,000",نايل موتورز,,,,,,
C1233,فقد إشارة سرعة العجلة,حساس ABS,"1,300 - 3,000",1,500 - 800,نايل موتورز,,,,,,
P0401,تدفق EGR غير كاف,تنظيف مسارات صمام,---,2,"1,000 - 2,000",نايل موتورز,,,,,,
P2195,حساس شكمان علق (فقير),حساس أوكسجين,"4,000 - 7,500",1,"600 - 1,100",نايل موتورز,,,,,,
P0032,جهد مرتفع سخان حساس 1,حساس أوكسجين,"3,800 - 7,000",1,500 - 900,نايل موتورز,,,,,,
P0446,عطل تحكم تنفيس EVAP,بلف تنفيس كانستر,"1,800 - 3,800",1,500 - 900,نايل موتورز,,,,,,
B1049,عطل دائرة الوسادة (فتح),شريط إيرباج,"1,600 - 4,500",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0012,تأخر توقيت الكامة A,صمام VVT / زيت,"2,200 - 5,200",1,"600 - 1,000",نايل موتورز,,,,,,
P0563,ارتفاع جهد النظام,كتاوت دينامو,"1,500 - 4,000",1,500 - 900,نايل موتورز,,,,,,
B1201,عطل حساس مستوى الوقود,عوامة بنزين,"1,500 - 3,500",1,"600 - 1,000",نايل موتورز,,,,,,
P0172,خليط وقود غني جداً,رشاشات / حساس هواء,"3,500 - 7,000",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0604,عطل ذاكرة RAM الكنترول,تغيير ECU,"8,000 - 22,000",2,"2,500 - 4,500",نايل موتورز,,,,,,
P0597,دائرة تحكم ثرموستات (مفتوحة),ثرموستات كهربائية,"4,500 - 11,000",2,"1,000 - 1,800",نايل موتورز,,,,,,
P0017,عدم توافق الكرنك والكامة (B2),طقم جنزير / تروس VVT,"12,000 - 35,000",5,"4,000 - 7,000",نايل موتورز,,,,,,
P0191,مدى أداء حساس مسطرة الوقود,حساس ضغط وقود,"3,500 - 7,500",1,"600 - 1,100",نايل موتورز,,,,,,
B1202,عطل في حساس حزام الأمان,قفل حزام الأمان,"1,100 - 2,800",1,400 - 800,نايل موتورز,,,,,,
P0340,عطل دائرة حساس الكامة,حساس كامة,"2,000 - 4,500",1,500 - 900,نايل موتورز,,,,,,
P2101,مدى أداء موتور البوابة,بوابة هواء كهربائية,"6,000 - 14,000",1,"700 - 1,300",نايل موتورز,,,,,,
P0101,مدى أداء حساس الماف,حساس MAF,"3,500 - 7,800",0.5,300 - 600,نايل موتورز,,,,,,
P0720,عطل حساس سرعة الخرج,حساس السرعة بالفتيس,"2,500 - 5,000",1,"600 - 1,100",نايل موتورز,,,,,,
P0011,توقيت كامة متقدم (A),بلف VVT / زيت,"3,000 - 6,000",1,"600 - 1,000",نايل موتورز,,,,,,
P0443,عطل صمام تطهير الكانستر,بلف تبخير بنزين,"1,800 - 3,600",1,500 - 900,نايل موتورز,,,,,,
B1801,انقطاع دائرة وسادة السائق,شريط إيرباج (Spiral),"2,000 - 5,000",1.5,"700 - 1,200",نايل موتورز,,,,,,
P0351,عطل موبينة 1,موبينة إشعال,"1,800 - 4,000",0.5,300 - 500,نايل موتورز,,,,,,
P2195,حساس أوكسجين علق (فقير),حساس شكمان,"4,500 - 8,500",1,"700 - 1,200",نايل موتورز,,,,,,
P0136,عطل حساس شكمان 2,حساس أوكسجين خلفي,"3,200 - 5,800",1,500 - 800,نايل موتورز,,,,,,
P0530,عطل حساس التكييف,حساس فريون,"1,200 - 3,500",1,"600 - 1,000",نايل موتورز,,,,,,
P0032,جهد مرتفع سخان حساس 1,حساس أوكسجين,"4,000 - 7,500",1,"600 - 1,000",نايل موتورز,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"2,800 - 6,000",1.5,"800 - 1,500",نايل موتورز,,,,,,
P2401,انخفاض فولتية طلمبة EVAP,طلمبة كشف تسريب,"4,800 - 9,500",2,"1,200 - 2,000",نايل موتورز,,,,,,
P0325,عطل حساس الخبط,حساس Knock,"2,800 - 5,800",2,"1,200 - 2,000",نايل موتورز,,,,,,
P0740,عطل دائرة الكلاتش (TCC),سولينويد فتيس,"4,500 - 10,000",2.5,"1,800 - 3,500",نايل موتورز,,,,,,
P0012,تأخر توقيت الكامة A,بلف VVT / زيت,"2,500 - 5,500",1,"600 - 1,000",نايل موتورز,,,,,,
P0411,تدفق هواء ثانوي خطأ,طلمبة هواء,"6,500 - 13,000",2,"1,500 - 2,500",نايل موتورز,,,,,,
P2196,إشارة شكمان علقت (غني),حساس أوكسجين,"4,500 - 8,000",1,"700 - 1,300",نايل موتورز,,,,,,
P0122,دخل منخفض حساس TPS,حساس بوابة,"1,800 - 3,800",0.8,400 - 800,نايل موتورز,,,,,,
P0502,انخفاض دخل حساس السرعة,حساس VSS,"1,200 - 2,800",1,500 - 900,نايل موتورز,,,,,,
C1221,فقد إشارة حساس ABS,حساس ABS,"1,500 - 3,500",1,500 - 900,نايل موتورز,,,,,,
P0336,مدى أداء حساس الكرنك,حساس كرنك,"2,000 - 4,500",1.5,"800 - 1,400",نايل موتورز,,,,,,
P0722,لا توجد إشارة حساس سرعة,حساس خرج الفتيس,"2,500 - 5,500",1,"700 - 1,200",نايل موتورز,,,,,,
C1233,فقد إشارة سرعة العجلة,حساس ABS,"1,500 - 3,200",1,500 - 900,نايل موتورز,,,,,,
C1A16,اتساخ/حجب الرادار الأمامي,تنظيف وضبط زاوية الرادار,---,1,"1,000 - 2,000",نايل موتورز,,,,,,
B2A01,عطل في شاشة الترفيه,بوردة الشاشة المركزية,"10,000 - 30,000",2,"2,000 - 5,000",نايل موتورز,,,,,,
